@relation WeatherForecast
@attribute WindSpeedKmph numeric
@attribute WindDirection360 {Variable,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360}
@attribute RelativeHumidityPercent numeric
@attribute AmosphericPressureMb numeric
@attribute DewPointCelcius numeric
@attribute TemperatureCelcius numeric
@data
9,80,93,1007,0,1
13,110,80,1018,-3,0
15,60,93,1021,-3,-2
2,Variable,65,1021,-4,2
9,130,56,1020,-6,2
15,270,74,1020,-6,-2
15,350,64,1018,-6,0
11,260,75,1012,-2,2
17,50,76,1016,4,8
4,Variable,76,1020,1,5
7,70,76,1022,3,7
11,70,76,1025,3,7
13,260,70,1023,-1,4
22,270,75,1016,-1,3
13,70,87,1014,6,8
15,80,93,1022,0,1
26,280,87,1013,-1,1
13,330,75,1012,0,4
15,70,65,1016,-2,4
20,260,75,1012,0,4
6,280,76,1011,6,10
11,60,76,1016,5,9
9,70,76,1020,4,8
6,310,66,1019,1,7
9,350,76,1018,3,7
13,270,88,1011,8,10
11,180,55,1014,7,16
15,70,62,1018,2,9
9,110,50,1021,0,10
19,330,71,1020,3,8
13,340,55,1013,5,14
7,60,67,1022,8,14
7,190,52,1016,6,16
15,70,87,1020,5,7
20,300,54,1020,0,9
13,330,47,1024,2,13
15,330,51,1025,4,14
6,Variable,34,1022,1,17
9,80,48,1018,4,15
2,Variable,42,1018,4,17
13,60,48,1020,5,16
6,80,40,1022,4,18
7,90,27,1028,2,22
13,70,35,1024,5,21
17,60,35,1024,4,20
17,90,43,1026,5,18
13,80,42,1024,2,15
15,300,41,1019,-1,12
22,290,70,1009,0,5
22,240,36,1003,6,22
2,Variable,49,1015,9,20
4,Variable,56,1018,8,17
17,300,56,1016,8,17
11,310,64,1017,11,18
6,60,50,1016,12,23
6,40,57,1016,13,22
17,60,46,1017,9,21
11,50,41,1019,9,23
6,80,46,1020,9,21
11,10,73,1020,13,18
15,360,41,1019,9,23
11,350,56,1019,10,19
13,290,46,1019,8,20
19,350,39,1016,9,24
9,30,21,1016,1,25
15,60,25,1016,1,22
11,70,23,1023,-1,21
4,Variable,38,1026,5,20
19,300,56,1025,10,19
4,Variable,39,1019,9,24
13,170,31,1012,6,24
11,120,34,1015,8,25
22,230,16,1014,1,29
2,Variable,33,1019,6,23
17,60,40,1023,5,19
13,100,30,1019,7,26
19,320,47,1018,11,23
20,230,68,1016,12,18
9,Variable,30,1019,6,25
15,280,20,1016,7,33
6,120,24,1016,10,33
17,290,37,1015,13,29
19,310,40,1012,14,29
7,20,29,1009,12,32
6,Variable,32,1007,14,33
20,310,33,1008,13,31
13,320,21,1009,9,34
13,90,17,1011,6,34
6,290,19,1013,5,31
6,100,27,1014,11,32
4,Variable,27,1012,9,30
11,Variable,24,1013,8,31
19,350,37,1012,13,29
22,300,27,1010,11,32
7,Variable,20,1011,6,32
7,10,46,1013,17,30
13,330,46,1013,17,30
2,Variable,36,1009,15,32
7,10,35,1009,13,30
11,330,42,1010,14,28
19,300,94,1012,17,18
20,200,69,1008,16,22
22,360,35,1012,13,30
15,360,40,1013,14,29
19,350,45,1011,14,27
30,360,57,1009,15,24
15,10,42,1006,13,27
19,350,27,1011,8,29
17,360,37,1012,11,27
28,340,48,1011,15,27
17,350,43,1012,16,30
20,360,51,1013,17,28
19,20,40,1011,16,31
26,100,63,1008,6,13
19,80,100,1016,5,5
4,Variable,77,1017,7,11
7,90,52,1024,7,17
9,180,33,1015,4,21
9,110,52,1018,7,17
9,120,43,1022,5,18
2,120,40,1017,6,20
9,70,39,1013,3,17
9,80,35,1019,3,19
7,340,30,1014,9,28
4,Variable,37,1015,11,27
11,270,57,1013,14,23
19,130,22,1012,6,30
11,340,50,1017,12,23
15,340,47,1016,12,24
